"geocodigo","demanda_total","n_personas"
"13117021003",61766583.3462872,3099
"13117021004",68591226.6234566,3452
"13117021005",81776172.4139457,3909
"13117031001",76743005.1114186,4087
"13117031002",45620259.0432979,2317
"13117031003",44656113.4287555,2469
"13117031004",51512895.1663108,2755
"13117031005",59475921.7060663,3221
"13117031006",47496634.4807689,2456
"13117041001",79308952.6808549,4252
"13117041002",54868528.2615858,2714
"13117041003",72479267.4830642,3926
"13117041004",66656634.3859237,3101
"13117041005",58073720.0869241,2811
"13117051001",80462819.9767768,4219
"13117051002",79823337.5430374,4034
"13117051003",64448374.3711185,3449
"13117051004",74797058.8578625,4005
"13117061001",51069767.8884459,2834
"13117061002",61579035.9654332,3337
"13117061003",33503095.2159959,1829
"13117071001",23231750.8588445,1135
"13117071002",45410798.159041,2364
"13117071003",47268223.3331563,2714
"13117071004",53170827.4733812,2824
"13117991999",6696119.41982825,352
"13118011001",341187764.081685,4853
"13118011002",241551844.279621,5333
"13118011003",385423546.008725,4912
"13118011004",199510183.686308,3066
"13118021001",435537498.466623,4666
"13118021002",345523485.291021,5333
"13118021003",186456925.801074,2690
"13118021004",291972717.692274,4217
"13118021005",150921189.366723,2837
"13118021006",147308500.500169,2542
"13118021007",322574491.259792,5046
"13118031001",333586360.57218,4742
"13118031002",244684405.013552,4536
"13118031003",210321132.252097,3393
"13118031004",245325670.341758,3105
"13118031005",291880282.704289,3779
"13118031006",177154052.399377,2779
"13118041001",285279174.035226,3065
"13118041002",209154774.876142,3530
"13118041003",213282678.588419,3931
"13118041004",213182650.721197,3353
"13118041005",188134178.91121,3436
"13118051001",2898804.03759096,50
"13118051002",208731083.386545,2399
"13118051003",167899185.759326,2323
"13118051004",276808876.765035,3010
"13118051005",265566857.643795,3805
"13118061001",235563279.328276,4156
"13118061002",189817428.691302,3625
"13118061003",196952186.526504,3710
"13118061004",241261447.055515,3304
"13118061005",127769434.913897,2022
"13118061006",162916234.936463,2666
"13118991999",17655531.5737446,320
"13119011001",112403259.502324,2587
"13119011002",205347079.933349,4700
"13119011003",94629794.0406438,2372
"13119011004",164270511.23219,3421
"13119011005",94766489.8625212,2029
"13119021001",163904684.906267,4234
"13119021002",132341607.948996,3380
"13119021003",212830557.219262,4753
"13119021004",265156064.644241,5221
"13119021005",292168280.270436,5234
"13119021006",253110586.056835,5464
"13119021007",140210877.369225,3124
"13119021008",219580838.882297,4233
"13119021009",238190649.591544,5195
"13119021010",236595372.597069,5026
"13119031001",98426373.0893715,2548
"13119031002",113598035.347192,2939
"13119031003",102162408.645758,2749
"13119031004",124159633.883589,3042
"13119031005",94282320.6882181,2198
"13119041001",19419224.8201274,546
"13119051001",4126818.37132646,116
"13119051002",212430867.537591,4079
"13119051003",130992739.484789,2564
"13119051004",199108288.447325,3323
"13119051005",238528939.172083,5588
"13119051006",223402071.243779,4994
"13119051007",192951441.533899,4323
"13119051008",274282602.685009,4950
"13119051009",225650271.545771,4268
"13119061001",202403467.747779,4772
"13119061002",209091556.082461,4754
"13119071001",181017914.541256,4203
"13119071002",219075248.38147,5163
"13119071003",214766807.712154,4768
"13119071004",258657320.960162,5047
"13119071005",182812858.372371,4469
"13119071006",310754451.615722,6052
"13119071007",185792471.03512,4406
