"geocodigo","demanda_total","n_personas"
"13110101002",255839132.550542,4431
"13110101003",223153181.904952,3659
"13110101004",128316490.335468,2589
"13110101005",242363804.352906,4146
"13110111001",259343690.452622,4657
"13110111002",150636668.236285,2636
"13110111003",269083555.094562,5150
"13110111004",235880213.237365,4590
"13110111005",251164221.309998,4637
"13110111006",120053869.49042,2319
"13110111007",198965013.356787,3796
"13110121001",181650455.102327,3158
"13110121002",126116311.879101,2520
"13110121003",176599857.375013,3412
"13110121004",176891965.873221,3675
"13110131001",207542088.832377,3974
"13110131002",218578635.4154,4219
"13110131003",209060999.035456,3880
"13110141001",118194425.405394,2464
"13110141002",148384849.798975,3205
"13110141003",170639636.793902,3781
"13110141004",137070041.355652,2867
"13110141005",131993818.506233,2881
"13110141006",126345207.09829,2814
"13110141007",163148506.604242,3528
"13110151001",221147665.555304,4734
"13110151002",144256503.364316,3231
"13110151003",181467046.277928,4195
"13110151004",129373579.769667,2759
"13110151005",100328300.84111,2182
"13110161001",114981421.239704,2151
"13110161002",236505488.070796,3920
"13110161003",207599356.319672,3857
"13110161004",185508898.740054,3462
"13110161005",91087679.7941241,1783
"13110161006",141229442.64632,2960
"13110171001",197990453.193619,4530
"13110171002",236752073.152443,3978
"13110171003",170095669.666069,3356
"13110171004",132540787.735417,2611
"13110171005",143349089.09152,2596
"13110171006",173994895.655107,3759
"13110181001",206322655.116471,4256
"13110181002",120257891.571761,2491
"13110181003",128836719.144683,2672
"13110181004",116487582.188135,2397
"13110191001",152627942.271831,3391
"13110191002",118874232.187489,2403
"13110191003",194580021.879092,3530
"13110191004",206045506.37757,4836
"13110201001",93291409.7396622,1957
"13110201002",148978700.032161,3367
"13110201003",176148471.490801,4133
"13110201004",106573647.857031,2515
"13110201005",88590176.028837,2076
"13110211001",207968141.442585,3578
"13110211002",142666145.220535,2736
"13110211003",279201862.249797,4457
"13110211004",261137336.79498,3588
"13110991999",24646710.7196535,529
"13111011001",102633874.499008,5102
"13111011002",96024912.54166,4485
"13111011003",79355812.283118,4077
"13111021001",92867348.9908231,4759
"13111021002",78637576.3031882,3738
"13111021003",82458564.3827972,4210
"13111021004",57222185.013165,2845
"13111031001",76162573.6991876,3622
"13111031002",63421344.8915158,3352
"13111031003",97465014.0898967,4934
"13111041001",57883631.6250319,3285
"13111041002",78689467.213063,4291
"13111041003",39431112.3594723,2224
"13111051001",52674499.6362104,2944
"13111051002",30037428.7785421,1619
"13111051003",70509851.1318933,3401
"13111051004",85349089.9895889,4538
"13111051005",62865606.1050259,3226
"13111061001",123955732.197131,5908
"13111061002",82509990.5669229,3908
"13111061003",61897432.8602136,2992
"13111071001",88079975.7340762,4349
"13111071002",64955660.5439276,2969
"13111071003",125229944.343283,5731
"13111071004",119447886.342873,5404
"13111071005",79660171.8725953,3807
"13111081001",74840918.9342158,3583
"13111081002",80714151.5526524,4047
"13111081003",98733835.1389498,4188
"13111081004",56019774.3091899,2750
"13111991999",4543787.06121389,283
"13112011001",29739280.9975598,2112
"13112011002",33068266.1092011,2435
"13112011003",2686094.62330068,251
"13112021001",66844887.8453933,5305
"13112021002",41930938.8145468,3178
"13112021003",49938339.1949455,3933
"13112021004",58571821.4988993,4587
"13112031001",49493044.2310376,3888
"13112031002",74761512.9689922,5909
"13112031003",62379914.4598223,4981
"13112031004",60945370.0665565,4944
"13112031005",34837492.0549224,2827
"13112041001",63491010.0934821,4584
"13112041002",77638128.4513922,5775
"13112041003",52756499.6071256,3957
"13112041004",5639926.9137081,405
"13112041005",41454081.4535487,3204
"13112041006",46078567.1187868,3403
"13112041007",80042314.7145768,5166
"13112051001",51239196.0702311,3522
"13112051002",53706096.8387236,3510
"13112051003",78331557.5426154,5099
"13112051004",89574.8423462795,16
"13112051005",33686207.4452498,2252
"13112051006",50961559.3082791,3459
"13112051007",60674102.6242252,4313
"13112051008",51204598.2746959,3743
"13112051009",63205694.541968,4493
"13112051010",66586969.1506356,4763
"13112051011",69510926.9965359,4800
"13112061001",58401493.8888671,4754
"13112061002",61712976.7630488,4893
"13112061003",43057960.9949315,3157
"13112071001",47898041.5988632,3489
"13112071002",37469504.8062748,2969
"13112071003",52644041.6152439,3786
"13112071004",44907850.0270816,3341
"13112071005",41412204.01872,3101
"13112071006",30831291.219063,2243
"13112081001",61862394.0515945,4549
"13112081002",58748947.7660289,4528
"13112081003",7779442.94610525,576
"13112081004",73868511.2998022,5016
"13112081005",56547932.2231902,3960
"13112081006",54931539.1902051,3901
"13112081007",41716928.2547301,3168
"13112081008",46215346.1856308,3331
"13112081009",61389636.1954203,4498
"13112991999",14535509.7094543,1261
"13113011001",314602930.47968,2218
"13113011002",262644946.611678,2072
"13113011003",471910395.674578,3376
"13113011004",555490435.196583,3671
"13113021001",306916683.87557,2073
"13113021002",323984271.902625,2243
"13113021003",291192828.971956,2042
"13113031001",572383302.747021,3872
"13113031002",355956636.478683,2384
"13113031003",651974657.380823,4257
"13113031004",364786109.694928,2373
"13113041001",329604546.740483,2309
"13113041002",378377899.425083,2631
"13113041003",461200497.386692,3052
"13113041004",435367655.007224,2896
"13113051001",503744742.299335,3195
"13113051002",632413865.522248,4075
"13113051003",548988063.328513,3577
"13113051004",486167902.542542,3420
"13113061001",922528658.973403,5712
"13113061002",754709655.475423,4838
"13113061003",135737641.192622,910
